"","day","total","A","B","C","AA","AB","AC","BA","BB","CA"
"130","2006-05-10",15,7,8,0,5,1,1,5,3,0
"131","2006-05-11",26,10,13,3,5,2,3,7,6,3
"132","2006-05-12",19,15,4,0,6,8,1,3,1,0
"133","2006-05-13",27,17,9,1,8,5,4,2,7,1
"134","2006-05-14",18,8,8,2,5,2,1,3,5,2
"135","2006-05-15",19,8,9,2,3,2,3,5,4,2
"136","2006-05-16",23,16,5,2,8,6,2,1,4,2
"137","2006-05-17",20,10,8,2,3,6,1,4,4,2
"138","2006-05-18",32,12,15,5,5,4,3,3,12,5
"139","2006-05-19",25,11,11,3,3,6,2,3,8,3
"140","2006-05-20",15,5,8,2,1,1,3,5,3,2
"141","2006-05-21",16,10,4,2,6,2,2,1,3,2
"142","2006-05-22",32,13,14,5,4,5,4,9,5,5
"143","2006-05-23",24,15,9,0,8,4,3,5,4,0
"144","2006-05-24",15,9,4,2,3,6,0,3,1,2
"145","2006-05-25",19,8,7,4,3,5,0,2,5,4
"146","2006-05-26",27,12,14,1,7,5,0,6,8,1
"147","2006-05-27",17,10,5,2,5,4,1,2,3,2
"148","2006-05-28",19,10,7,2,3,5,2,4,3,2
"149","2006-05-29",15,4,7,4,2,0,2,2,5,4
"150","2006-05-30",21,13,6,2,5,4,4,1,5,2
"151","2006-05-31",25,11,11,3,3,6,2,6,5,3
"152","2006-06-01",14,5,8,1,2,2,1,5,3,1
"153","2006-06-02",26,7,16,3,3,2,2,6,10,3
"154","2006-06-03",17,10,6,1,5,4,1,4,2,1
"155","2006-06-04",21,13,7,1,7,3,3,2,5,1
"156","2006-06-05",23,10,8,5,2,7,1,4,4,5
"157","2006-06-06",23,12,10,1,7,4,1,4,6,1
"158","2006-06-07",13,7,5,1,3,4,0,2,3,1
"159","2006-06-08",20,11,6,3,4,6,1,4,2,3
"160","2006-06-09",21,10,8,3,8,1,1,5,3,3
"161","2006-06-10",26,16,9,1,2,8,6,4,5,1
"162","2006-06-11",22,14,7,1,2,7,5,2,5,1
"163","2006-06-12",19,9,8,2,4,3,2,5,3,2
"164","2006-06-13",25,15,7,3,5,7,3,1,6,3
"165","2006-06-14",21,10,6,5,5,3,2,3,3,5
"166","2006-06-15",21,7,13,1,1,5,1,8,5,1
"167","2006-06-16",24,11,12,1,2,7,2,5,7,1
"168","2006-06-17",15,6,9,0,2,4,0,3,6,0
"169","2006-06-18",30,15,9,6,4,7,4,4,5,6
"170","2006-06-19",24,13,8,3,5,7,1,5,3,3
"171","2006-06-20",20,8,9,3,1,2,5,6,3,3
"172","2006-06-21",18,12,5,1,10,1,1,3,2,1
"173","2006-06-22",26,15,6,5,7,5,3,4,2,5
"174","2006-06-23",27,15,11,1,4,10,1,6,5,1
"175","2006-06-24",13,8,5,0,3,3,2,4,1,0
"176","2006-06-25",29,18,8,3,6,9,3,7,1,3
"177","2006-06-26",22,12,9,1,5,6,1,5,4,1
"178","2006-06-27",19,8,9,2,4,4,0,6,3,2
"179","2006-06-28",15,5,7,3,0,4,1,2,5,3
"180","2006-06-29",21,13,6,2,7,3,3,1,5,2
"181","2006-06-30",23,10,12,1,1,9,0,5,7,1
"182","2006-07-01",21,12,5,4,4,5,3,3,2,4
"183","2006-07-02",22,13,6,3,6,4,3,4,2,3
"184","2006-07-03",30,14,13,3,3,8,3,5,8,3
"185","2006-07-04",17,8,8,1,5,2,1,3,5,1
"186","2006-07-05",26,14,11,1,7,5,2,5,6,1
"187","2006-07-06",20,9,10,1,3,4,2,6,4,1
"188","2006-07-07",17,8,8,1,2,3,3,5,3,1
"189","2006-07-08",23,15,7,1,7,3,5,3,4,1
"190","2006-07-09",17,8,7,2,2,5,1,5,2,2
"191","2006-07-10",21,10,7,4,3,5,2,4,3,4
"192","2006-07-11",20,12,7,1,3,5,4,3,4,1
"193","2006-07-12",24,15,8,1,1,11,3,5,3,1
"194","2006-07-13",20,12,7,1,3,6,3,5,2,1
"195","2006-07-14",18,9,7,2,1,4,4,5,2,2
"196","2006-07-15",28,12,13,3,3,6,3,5,8,3
"197","2006-07-16",18,11,5,2,5,5,1,4,1,2
"198","2006-07-17",22,12,8,2,4,8,0,4,4,2
"199","2006-07-18",19,8,8,3,4,2,2,4,4,3
"200","2006-07-19",16,6,9,1,3,1,2,5,4,1
"201","2006-07-20",20,9,11,0,3,2,4,5,6,0
"202","2006-07-21",19,10,8,1,4,3,3,2,6,1
"203","2006-07-22",18,6,11,1,2,3,1,4,7,1
"204","2006-07-23",19,9,9,1,3,6,0,5,4,1
"205","2006-07-24",32,17,9,6,8,5,4,3,6,6
"206","2006-07-25",29,10,17,2,5,3,2,9,8,2
"207","2006-07-26",22,9,9,4,3,2,4,5,4,4
"208","2006-07-27",22,10,12,0,6,2,2,6,6,0
"209","2006-07-28",21,7,13,1,2,4,1,7,6,1
"210","2006-07-29",24,10,13,1,3,5,2,6,7,1
"211","2006-07-30",17,6,9,2,2,3,1,6,3,2
"212","2006-07-31",26,16,8,2,6,7,3,4,4,2
"213","2006-08-01",19,9,8,2,4,5,0,4,4,2
"214","2006-08-02",13,8,4,1,2,4,2,2,2,1
"215","2006-08-03",25,13,9,3,8,3,2,4,5,3
"216","2006-08-04",26,12,8,6,5,7,0,5,3,6
"217","2006-08-05",20,9,9,2,6,3,0,5,4,2
"218","2006-08-06",16,3,11,2,1,1,1,7,4,2
"219","2006-08-07",23,9,12,2,4,2,3,4,8,2
"220","2006-08-08",23,10,10,3,3,6,1,7,3,3
"221","2006-08-09",23,14,7,2,2,8,4,2,5,2
"222","2006-08-10",18,12,6,0,3,4,5,5,1,0
"223","2006-08-11",33,14,15,4,7,3,4,5,10,4
"224","2006-08-12",28,10,14,4,2,4,4,3,11,4
"225","2006-08-13",14,8,5,1,3,2,3,2,3,1
"226","2006-08-14",16,8,5,3,4,2,2,3,2,3
"227","2006-08-15",13,7,6,0,3,4,0,1,5,0
"228","2006-08-16",14,6,5,3,5,1,0,3,2,3
"229","2006-08-17",14,8,6,0,4,3,1,4,2,0
"230","2006-08-18",21,9,9,3,3,3,3,5,4,3
"231","2006-08-19",31,18,12,1,8,6,4,8,4,1
"232","2006-08-20",22,9,8,5,3,4,2,5,3,5
"233","2006-08-21",15,11,2,2,5,2,4,1,1,2
"234","2006-08-22",24,11,10,3,6,4,1,6,4,3
"235","2006-08-23",25,11,10,4,3,5,3,5,5,4
"236","2006-08-24",19,10,8,1,3,6,1,4,4,1
"237","2006-08-25",23,14,8,1,4,6,4,4,4,1
"238","2006-08-26",21,14,6,1,6,5,3,5,1,1
"239","2006-08-27",18,11,4,3,3,6,2,0,4,3
"240","2006-08-28",20,5,14,1,3,1,1,7,7,1
"241","2006-08-29",18,11,4,3,5,5,1,3,1,3
"242","2006-08-30",22,10,10,2,1,8,1,5,5,2
"243","2006-08-31",20,10,8,2,6,2,2,5,3,2
"244","2006-09-01",20,8,7,5,3,4,1,6,1,5
"245","2006-09-02",21,7,12,2,4,1,2,8,4,2
"246","2006-09-03",21,13,6,2,6,3,4,3,3,2
"247","2006-09-04",37,19,13,5,6,7,6,7,6,5
"248","2006-09-05",23,12,9,2,5,6,1,6,3,2
"249","2006-09-06",20,11,8,1,4,4,3,3,5,1
"250","2006-09-07",18,8,9,1,3,3,2,6,3,1
"251","2006-09-08",25,12,12,1,6,4,2,3,9,1
"252","2006-09-09",16,9,6,1,5,1,3,4,2,1
"253","2006-09-10",24,11,11,2,1,6,4,6,5,2
"254","2006-09-11",33,19,11,3,7,8,4,5,6,3
"255","2006-09-12",17,9,5,3,4,4,1,3,2,3
"256","2006-09-13",20,5,11,4,1,2,2,6,5,4
"257","2006-09-14",16,11,4,1,2,9,0,4,0,1
"258","2006-09-15",16,5,8,3,4,1,0,3,5,3
"259","2006-09-16",31,15,13,3,6,9,0,7,6,3
"260","2006-09-17",18,7,10,1,2,2,3,6,4,1
"261","2006-09-18",26,13,11,2,8,2,3,4,7,2
"262","2006-09-19",20,9,10,1,2,7,0,5,5,1
"263","2006-09-20",22,8,13,1,4,3,1,5,8,1
"264","2006-09-21",18,10,6,2,4,4,2,4,2,2
"265","2006-09-22",21,10,9,2,6,3,1,3,6,2
"266","2006-09-23",19,8,8,3,1,4,3,7,1,3
"267","2006-09-24",20,8,11,1,3,4,1,3,8,1
"268","2006-09-25",18,10,7,1,6,3,1,5,2,1
"269","2006-09-26",24,12,11,1,5,6,1,5,6,1
"270","2006-09-27",20,10,9,1,3,4,3,3,6,1
"271","2006-09-28",24,9,11,4,6,2,1,5,6,4
"272","2006-09-29",23,11,11,1,5,4,2,5,6,1
"273","2006-09-30",24,13,8,3,2,10,1,1,7,3
"274","2006-10-01",18,5,9,4,1,3,1,7,2,4
"275","2006-10-02",17,6,10,1,1,3,2,6,4,1
"276","2006-10-03",29,19,8,2,5,7,7,6,2,2
"277","2006-10-04",29,20,8,1,11,6,3,4,4,1
"278","2006-10-05",21,9,9,3,7,2,0,3,6,3
"279","2006-10-06",21,13,6,2,4,7,2,2,4,2
"280","2006-10-07",28,15,8,5,5,8,2,2,6,5
"281","2006-10-08",25,13,11,1,7,5,1,5,6,1
"282","2006-10-09",23,12,9,2,3,7,2,5,4,2
"283","2006-10-10",22,9,12,1,2,3,4,8,4,1
"284","2006-10-11",21,14,6,1,5,4,5,2,4,1
"285","2006-10-12",17,8,6,3,3,3,2,4,2,3
"286","2006-10-13",20,7,11,2,3,3,1,6,5,2
"287","2006-10-14",16,11,5,0,3,6,2,3,2,0
"288","2006-10-15",15,9,3,3,3,5,1,2,1,3
"289","2006-10-16",21,11,8,2,2,6,3,4,4,2
"290","2006-10-17",21,7,12,2,1,3,3,5,7,2
"291","2006-10-18",13,8,5,0,2,3,3,3,2,0
"292","2006-10-19",18,11,6,1,7,3,1,3,3,1
"293","2006-10-20",20,10,9,1,4,5,1,3,6,1
"294","2006-10-21",17,4,9,4,0,3,1,5,4,4
"295","2006-10-22",14,9,4,1,3,3,3,1,3,1
"296","2006-10-23",15,6,8,1,1,4,1,5,3,1
"297","2006-10-24",26,10,12,4,5,4,1,5,7,4
"298","2006-10-25",17,6,9,2,2,2,2,4,5,2
"299","2006-10-26",17,9,6,2,3,6,0,2,4,2
"300","2006-10-27",24,10,11,3,1,7,2,5,6,3
"301","2006-10-28",24,17,5,2,8,6,3,1,4,2
"302","2006-10-29",24,13,8,3,6,3,4,7,1,3
"303","2006-10-30",29,12,15,2,4,4,4,12,3,2
"304","2006-10-31",23,9,10,4,3,3,3,6,4,4
"305","2006-11-01",18,11,5,2,6,3,2,1,4,2
"306","2006-11-02",15,9,4,2,3,5,1,2,2,2
"307","2006-11-03",25,11,10,4,2,6,3,7,3,4
"308","2006-11-04",24,10,11,3,3,4,3,6,5,3
"309","2006-11-05",29,15,12,2,6,8,1,5,7,2
"310","2006-11-06",16,9,6,1,5,3,1,1,5,1
"311","2006-11-07",23,9,11,3,4,4,1,6,5,3
"312","2006-11-08",24,10,11,3,4,4,2,5,6,3
"313","2006-11-09",14,6,7,1,0,6,0,4,3,1
"314","2006-11-10",22,9,8,5,5,3,1,3,5,5
"315","2006-11-11",26,11,13,2,4,4,3,9,4,2
"316","2006-11-12",15,7,8,0,4,3,0,6,2,0
"317","2006-11-13",23,10,11,2,5,4,1,6,5,2
"318","2006-11-14",18,9,7,2,3,5,1,5,2,2
"319","2006-11-15",20,14,5,1,5,4,5,3,2,1
"320","2006-11-16",18,6,9,3,3,1,2,5,4,3
"321","2006-11-17",19,13,3,3,5,5,3,2,1,3
"322","2006-11-18",12,5,7,0,2,2,1,3,4,0
"323","2006-11-19",29,12,14,3,3,8,1,6,8,3
"324","2006-11-20",22,9,12,1,5,2,2,6,6,1
"325","2006-11-21",28,9,18,1,5,4,0,12,6,1
"326","2006-11-22",25,12,10,3,5,5,2,6,4,3
"327","2006-11-23",12,9,2,1,2,4,3,2,0,1
"328","2006-11-24",27,14,10,3,5,5,4,4,6,3
"329","2006-11-25",32,18,11,3,9,5,4,5,6,3
"330","2006-11-26",19,12,6,1,6,5,1,4,2,1
"331","2006-11-27",20,12,6,2,7,4,1,4,2,2
"332","2006-11-28",27,15,8,4,4,7,4,2,6,4
"333","2006-11-29",26,15,7,4,4,7,4,4,3,4
"334","2006-11-30",14,7,5,2,2,3,2,2,3,2
"335","2006-12-01",22,11,7,4,2,5,4,3,4,4
"336","2006-12-02",22,11,8,3,5,2,4,6,2,3
"337","2006-12-03",19,6,7,6,4,0,2,3,4,6
"338","2006-12-04",21,13,5,3,4,5,4,4,1,3
"339","2006-12-05",19,9,8,2,6,2,1,2,6,2
"340","2006-12-06",15,4,9,2,0,2,2,3,6,2
"341","2006-12-07",29,15,11,3,6,5,4,7,4,3
"342","2006-12-08",30,14,13,3,5,5,4,7,6,3
"343","2006-12-09",20,6,12,2,1,4,1,10,2,2
"344","2006-12-10",18,7,8,3,3,3,1,4,4,3
"345","2006-12-11",19,11,4,4,4,4,3,1,3,4
"346","2006-12-12",28,13,14,1,6,5,2,10,4,1
"347","2006-12-13",25,12,6,7,4,5,3,5,1,7
"348","2006-12-14",22,15,5,2,3,9,3,4,1,2
"349","2006-12-15",20,10,10,0,3,5,2,5,5,0
"350","2006-12-16",21,8,10,3,5,3,0,9,1,3
"351","2006-12-17",20,9,8,3,2,4,3,5,3,3
"352","2006-12-18",22,12,9,1,7,3,2,3,6,1
"353","2006-12-19",29,18,10,1,7,5,6,5,5,1
"354","2006-12-20",25,12,11,2,3,7,2,7,4,2
"355","2006-12-21",24,13,8,3,6,4,3,5,3,3
"356","2006-12-22",20,9,11,0,4,3,2,3,8,0
"357","2006-12-23",16,9,6,1,4,3,2,3,3,1
"358","2006-12-24",14,11,1,2,3,5,3,0,1,2
"359","2006-12-25",22,13,5,4,6,6,1,0,5,4
"360","2006-12-26",28,17,7,4,6,9,2,5,2,4
"361","2006-12-27",21,11,8,2,5,3,3,4,4,2
"362","2006-12-28",27,12,12,3,3,7,2,3,9,3
"363","2006-12-29",17,7,7,3,4,1,2,5,2,3
"364","2006-12-30",31,20,7,4,7,10,3,5,2,4
"365","2006-12-31",24,13,10,1,8,3,2,4,6,1
"366","2007-01-01",26,10,13,3,3,6,1,3,10,3
"367","2007-01-02",23,9,12,2,5,3,1,10,2,2
"368","2007-01-03",25,11,10,4,4,6,1,5,5,4
"369","2007-01-04",23,12,10,1,6,3,3,4,6,1
"370","2007-01-05",14,6,8,0,3,2,1,5,3,0
"371","2007-01-06",28,14,12,2,4,8,2,7,5,2
"372","2007-01-07",15,9,5,1,4,4,1,3,2,1
"373","2007-01-08",20,12,7,1,3,8,1,3,4,1
"374","2007-01-09",24,10,11,3,3,3,4,3,8,3
"375","2007-01-10",32,16,8,8,8,7,1,5,3,8
"376","2007-01-11",25,8,12,5,4,4,0,5,7,5
"377","2007-01-12",27,11,14,2,4,5,2,6,8,2
"378","2007-01-13",19,6,12,1,2,2,2,6,6,1
"379","2007-01-14",19,9,7,3,3,4,2,2,5,3
"380","2007-01-15",23,13,7,3,6,5,2,3,4,3
"381","2007-01-16",21,11,7,3,3,6,2,4,3,3
"382","2007-01-17",12,3,7,2,1,0,2,4,3,2
"383","2007-01-18",15,7,6,2,4,2,1,3,3,2
"384","2007-01-19",29,17,9,3,7,9,1,6,3,3
"385","2007-01-20",21,13,4,4,3,7,3,2,2,4
"386","2007-01-21",32,7,22,3,3,3,1,11,11,3
"387","2007-01-22",25,15,9,1,7,5,3,6,3,1
"388","2007-01-23",20,10,7,3,4,6,0,3,4,3
"389","2007-01-24",27,14,10,3,7,4,3,8,2,3
"390","2007-01-25",21,12,7,2,5,7,0,3,4,2
"391","2007-01-26",26,18,6,2,7,9,2,4,2,2
"392","2007-01-27",28,9,10,9,3,5,1,6,4,9
"393","2007-01-28",21,14,7,0,6,6,2,2,5,0
"394","2007-01-29",25,10,13,2,2,6,2,9,4,2
"395","2007-01-30",31,21,8,2,11,7,3,5,3,2
"396","2007-01-31",20,11,8,1,4,5,2,4,4,1
"397","2007-02-01",21,9,10,2,4,5,0,2,8,2
"398","2007-02-02",16,10,6,0,5,4,1,2,4,0
"399","2007-02-03",26,14,9,3,6,6,2,3,6,3
"400","2007-02-04",19,11,5,3,3,6,2,2,3,3
"401","2007-02-05",22,13,7,2,6,4,3,4,3,2
"402","2007-02-06",18,10,8,0,3,6,1,7,1,0
"403","2007-02-07",18,13,1,4,6,7,0,1,0,4
"404","2007-02-08",26,12,13,1,5,7,0,9,4,1
"405","2007-02-09",23,9,13,1,2,3,4,8,5,1
"406","2007-02-10",21,10,8,3,6,3,1,5,3,3
"407","2007-02-11",21,15,6,0,7,5,3,5,1,0
"408","2007-02-12",20,11,7,2,2,5,4,4,3,2
"409","2007-02-13",28,16,10,2,8,6,2,4,6,2
"410","2007-02-14",24,15,7,2,5,4,6,3,4,2
"411","2007-02-15",24,10,8,6,4,2,4,2,6,6
"412","2007-02-16",25,11,12,2,3,6,2,4,8,2
"413","2007-02-17",20,11,6,3,8,3,0,4,2,3
"414","2007-02-18",18,7,9,2,3,4,0,4,5,2
"415","2007-02-19",13,5,7,1,3,2,0,4,3,1
"416","2007-02-20",13,9,2,2,3,2,4,0,2,2
"417","2007-02-21",20,10,10,0,5,5,0,6,4,0
"418","2007-02-22",16,5,11,0,3,2,0,7,4,0
"419","2007-02-23",14,6,6,2,1,3,2,4,2,2
"420","2007-02-24",14,5,7,2,1,3,1,3,4,2
"421","2007-02-25",29,18,7,4,6,8,4,6,1,4
"422","2007-02-26",25,10,10,5,7,3,0,8,2,5
"423","2007-02-27",16,13,2,1,4,6,3,0,2,1
"424","2007-02-28",28,13,14,1,4,8,1,10,4,1
"425","2007-03-01",18,4,11,3,3,0,1,6,5,3
"426","2007-03-02",24,12,8,4,2,7,3,4,4,4
"427","2007-03-03",28,11,14,3,9,1,1,5,9,3
"428","2007-03-04",21,10,9,2,4,3,3,6,3,2
"429","2007-03-05",14,7,6,1,2,5,0,4,2,1
"430","2007-03-06",23,7,14,2,4,3,0,8,6,2
"431","2007-03-07",16,7,8,1,3,4,0,4,4,1
"432","2007-03-08",25,13,10,2,4,4,5,4,6,2
"433","2007-03-09",25,12,9,4,4,7,1,5,4,4
"434","2007-03-10",14,6,5,3,2,1,3,2,3,3
"435","2007-03-11",16,8,6,2,4,3,1,3,3,2
"436","2007-03-12",26,14,12,0,8,4,2,8,4,0
"437","2007-03-13",28,10,18,0,5,4,1,7,11,0
"438","2007-03-14",25,9,13,3,3,4,2,6,7,3
"439","2007-03-15",18,9,6,3,4,4,1,3,3,3
"440","2007-03-16",11,6,5,0,2,3,1,1,4,0
"441","2007-03-17",15,11,4,0,2,4,5,1,3,0
"442","2007-03-18",30,16,13,1,7,4,5,8,5,1
"443","2007-03-19",25,9,13,3,4,3,2,6,7,3
"444","2007-03-20",25,12,13,0,0,8,4,6,7,0
"445","2007-03-21",21,10,8,3,3,3,4,7,1,3
"446","2007-03-22",21,7,12,2,2,3,2,9,3,2
"447","2007-03-23",21,12,6,3,2,6,4,4,2,3
"448","2007-03-24",29,7,19,3,4,2,1,8,11,3
"449","2007-03-25",27,14,12,1,4,7,3,8,4,1
"450","2007-03-26",26,11,13,2,5,4,2,8,5,2
"451","2007-03-27",23,12,7,4,7,3,2,5,2,4
"452","2007-03-28",23,12,9,2,7,4,1,5,4,2
"453","2007-03-29",30,16,11,3,8,6,2,4,7,3
"454","2007-03-30",19,10,9,0,1,4,5,6,3,0
"455","2007-03-31",25,9,14,2,5,4,0,8,6,2
"456","2007-04-01",26,13,11,2,6,6,1,5,6,2
"457","2007-04-02",27,16,8,3,8,6,2,3,5,3
"458","2007-04-03",25,13,11,1,6,5,2,6,5,1
"459","2007-04-04",18,7,9,2,3,2,2,5,4,2
"460","2007-04-05",22,10,10,2,5,3,2,3,7,2
"461","2007-04-06",18,11,5,2,2,4,5,3,2,2
"462","2007-04-07",22,9,12,1,2,6,1,6,6,1
"463","2007-04-08",10,4,5,1,1,2,1,3,2,1
"464","2007-04-09",28,19,6,3,8,5,6,4,2,3
